Time,Country,GDP,HCI,Pop,CO2
2014,France,2850000000000, ,66316100,303276
2014,Germany,3900000000000, ,80982500,719883
2014,India,2040000000000, ,1295604184,2238377
2014,Indonesia,891000000000, ,255129004,464176
2014,Italy,2150000000000, ,60789140,320411
2014,Japan,4850000000000, ,127276000,1214048
2014,Mexico,1310000000000, ,120355128,480271
2014,Russian Federation,2060000000000, ,143819666,1705346
2014,Saudi Arabia,756000000000, ,30916994,601047
2014,South Africa,351000000000, ,54545991,489772
2014,Turkey,934000000000, ,77231907,345981
2014,United Kingdom,3030000000000, ,64613160,419820
2014,United States,17500000000000, ,318386421,5254279
2015,Argentina,595000000000, ,43131966, 
2015,Australia,1350000000000, ,23815995, 
2015,Brazil,1800000000000, ,204471769, 
2015,Canada,1550000000000, ,35702908, 
2015,China,11000000000000, ,1371220000, 
2015,France,2440000000000, ,66593366, 
2015,Germany,3380000000000, ,81686611, 
2015,India,2100000000000, ,1310152403, 
2015,Indonesia,861000000000, ,258383256, 
2015,Italy,1830000000000, ,60730582, 
2015,Japan,4390000000000, ,127141000, 
2015,Mexico,1170000000000, ,121858258, 
2015,Russian Federation,1360000000000, ,144096870, 
2015,Saudi Arabia,654000000000, ,31717667, 
2015,South Africa,318000000000, ,55386367, 
2015,Turkey,860000000000, ,78529409, 
2015,United Kingdom,2900000000000, ,65128861, 
2015,United States,18200000000000, ,320742673, 
2016,Argentina,558000000000, ,43590368, 
2016,Australia,1210000000000, ,24190907, 
2016,Brazil,1800000000000, ,206163058, 
2016,Canada,1530000000000, ,36109487, 
2016,China,11100000000000, ,1378665000, 
2016,France,2470000000000, ,66859768, 
2016,Germany,3500000000000, ,82348669, 
2016,India,2290000000000, ,1324509589, 
2016,Indonesia,932000000000, ,261554226, 
2016,Italy,1870000000000, ,60627498, 
2016,Japan,4930000000000, ,126994511, 
2016,Mexico,1080000000000, ,123333376, 
2016,Russian Federation,1280000000000, ,144342396, 
2016,Saudi Arabia,645000000000, ,32442572, 
2016,South Africa,296000000000, ,56203654, 
2016,Turkey,864000000000, ,79821724, 
2016,United Kingdom,2660000000000, ,65595565, 
2016,United States,18700000000000, ,323071342, 
2017,Argentina,643000000000,1,44044811, 
2017,Australia,1330000000000,1,24601860, 
2017,Brazil,2050000000000,1,207833831, 
2017,Canada,1650000000000,1,36540268, 
2017,China,12100000000000,1,1386395000, 
2017,France,2590000000000,1,66865144, 
2017,Germany,3690000000000,1,82657002, 
2017,India,2650000000000,0,1338658835, 
2017,Indonesia,1020000000000,1,264645886, 
